   xk <= x <   xk+1; y_i      =    65.3599     +       -0.000111722x; type: least-square

    0 <= x <     30; y_0      =        50.0000 +    0.6000x; interpolation
   30 <= x <     60; y_1      =        84.0000 +   -0.5333x; interpolation
   60 <= x <     90; y_2      =        16.0000 +    0.6000x; interpolation
   90 <= x <    120; y_3      =       106.0000 +   -0.4000x; interpolation
  120 <= x <    150; y_4      =        22.0000 +    0.3000x; interpolation
  150 <= x <    180; y_5      =        87.0000 +   -0.1333x; interpolation
  180 <= x <    210; y_6      =        15.0000 +    0.2667x; interpolation
  210 <= x <    240; y_7      =       113.0000 +   -0.2000x; interpolation
  240 <= x <    270; y_8      =        17.0000 +    0.2000x; interpolation
  270 <= x <    300; y_9      =       107.0000 +   -0.1333x; interpolation
  300 <= x <    330; y_10     =       187.0000 +   -0.4000x; interpolation
  330 <= x <    360; y_11     =       -44.0000 +    0.3000x; interpolation
  360 <= x <    390; y_12     =       196.0000 +   -0.3667x; interpolation
  390 <= x <    420; y_13     =        27.0000 +    0.0667x; interpolation
  420 <= x <    450; y_14     =      -169.0000 +    0.5333x; interpolation
  450 <= x <    480; y_15     =        71.0000 +    0.0000x; interpolation
  480 <= x <    510; y_16     =       327.0000 +   -0.5333x; interpolation
  510 <= x <    540; y_17     =        89.0000 +   -0.0667x; interpolation
  540 <= x <    570; y_18     =      -253.0000 +    0.5667x; interpolation
  570 <= x <    600; y_19     =       393.0000 +   -0.5667x; interpolation
  600 <= x <    630; y_20     =        -7.0000 +    0.1000x; interpolation
  630 <= x <    660; y_21     =        98.0000 +   -0.0667x; interpolation
  660 <= x <    690; y_22     =      -364.0000 +    0.6333x; interpolation
  690 <= x <    720; y_23     =        96.0000 +   -0.0333x; interpolation
  720 <= x <    750; y_24     =       480.0000 +   -0.5667x; interpolation
  750 <= x <    780; y_25     =      -395.0000 +    0.6000x; interpolation
  780 <= x <    810; y_26     =        73.0000 +    0.0000x; interpolation
  810 <= x <    840; y_27     =        73.0000 +    0.0000x; interpolation
  840 <= x <    870; y_28     =        45.0000 +    0.0333x; interpolation
  870 <= x <    900; y_29     =       132.0000 +   -0.0667x; interpolation
  900 <= x <    930; y_30     =        42.0000 +    0.0333x; interpolation
  930 <= x <    960; y_31     =        42.0000 +    0.0333x; interpolation
  960 <= x <    990; y_32     =       106.0000 +   -0.0333x; interpolation
  990 <= x <   1020; y_33     =       139.0000 +   -0.0667x; interpolation
 1020 <= x <   1050; y_34     =       615.0000 +   -0.5333x; interpolation
 1050 <= x <   1080; y_35     =        55.0000 +    0.0000x; interpolation
 1080 <= x <   1110; y_36     =      -521.0000 +    0.5333x; interpolation
 1110 <= x <   1140; y_37     =        34.0000 +    0.0333x; interpolation
 1140 <= x <   1170; y_38     =        72.0000 +    0.0000x; interpolation
 1170 <= x <   1200; y_39     =       111.0000 +   -0.0333x; interpolation
 1200 <= x <   1230; y_40     =        71.0000 +    0.0000x; interpolation
 1230 <= x <   1260; y_41     =       -11.0000 +    0.0667x; interpolation
 1260 <= x <   1290; y_42     =       115.0000 +   -0.0333x; interpolation
 1290 <= x <   1320; y_43     =       115.0000 +   -0.0333x; interpolation
 1320 <= x <   1350; y_44     =       687.0000 +   -0.4667x; interpolation
 1350 <= x <   1380; y_45     =       192.0000 +   -0.1000x; interpolation
 1380 <= x <   1410; y_46     =       -38.0000 +    0.0667x; interpolation
 1410 <= x <   1440; y_47     =      -649.0000 +    0.5000x; interpolation
 1440 <= x <   1470; y_48     =       -25.0000 +    0.0667x; interpolation
 1470 <= x <   1500; y_49     =        24.0000 +    0.0333x; interpolation
