FIFO scheduling:Number of processes: 10000
Total elapsed time (for the scheduler): 153235
Throughput (Number of processes executed in units of CPU burst time): 0.065
CPU utilization: 99.994
Average waiting time (in CPU burst times): 26862.214
Average turnaround time (in CPU burst times): 26877.536
Average response time (in CPU burst times): 26862.214

Index    Arrival time     CPU Burst Length   Priority    Finish Time      Turnaround Time      Waiting Time    Idle Time      Response Time
   1           9                  15           4                  24                  15                   0           9           0
   2          23                  23           3                  47                  24                   1           0           1
   3          26                   4           9                  51                  25                  21           0          21
   4          38                   7           3                  58                  20                  13           0          13
   5          47                  14           5                  72                  25                  11           0          11
   6          65                  19           5                  91                  26                   7           0           7
   7          84                  17           4                 108                  24                   7           0           7
   8          92                  17           2                 125                  33                  16           0          16
   9         102                  10           7                 135                  33                  23           0          23
  10         104                  12           6                 147                  43                  31           0          31
  11         106                  22           5                 169                  63                  41           0          41
  12         109                   4           6                 173                  64                  60           0          60
  13         111                   6           9                 179                  68                  62           0          62
  14         119                   4           2                 183                  64                  60           0          60
  15         121                  12           7                 195                  74                  62           0          62
  16         131                  20           3                 215                  84                  64           0          64
  17         136                  26           5                 241                 105                  79           0          79
  18         141                   8           2                 249                 108                 100           0         100
  19         158                   3           1                 252                  94                  91           0          91
  20         160                  16           1                 268                 108                  92           0          92
  21         173                   7           2                 275                 102                  95           0          95
  22         179                   7           8                 282                 103                  96           0          96
  23         180                  19           6                 301                 121                 102           0         102
  24         191                  11           2                 312                 121                 110           0         110
  25         200                   5           7                 317                 117                 112           0         112
  26         208                   7           7                 324                 116                 109           0         109
  27         210                   5           4                 329                 119                 114           0         114
  28         212                  29           7                 358                 146                 117           0         117
  29         218                  24           5                 382                 164                 140           0         140
  30         226                  12           7                 394                 168                 156           0         156
  31         228                  11           6                 405                 177                 166           0         166
  32         230                  10           2                 415                 185                 175           0         175
  33         238                  12           1                 427                 189                 177           0         177
  34         240                  10           7                 437                 197                 187           0         187
  35         279                  26           4                 463                 184                 158           0         158
  36         282                  26           7                 489                 207                 181           0         181
  37         283                  16           1                 505                 222                 206           0         206
  38         302                  11           6                 516                 214                 203           0         203
  39         316                  17           2                 533                 217                 200           0         200
  40         317                  25           1                 558                 241                 216           0         216
  41         330                  29           4                 587                 257                 228           0         228
  42         331                  13           7                 600                 269                 256           0         256
  43         332                  21           8                 621                 289                 268           0         268
  44         344                  24           7                 645                 301                 277           0         277
  45         350                  17           3                 662                 312                 295           0         295
  46         351                  12           2                 674                 323                 311           0         311
  47         359                   8           6                 682                 323                 315           0         315
  48         378                   8           3                 690                 312                 304           0         304
  49         387                  17           6                 707                 320                 303           0         303
  50         423                  17           2                 724                 301                 284           0         284
  51         429                   7           4                 731                 302                 295           0         295
  52         471                   4           2                 735                 264                 260           0         260
  53         479                   2           6                 737                 258                 256           0         256
  54         483                  27           3                 764                 281                 254           0         254
  55         484                  11           7                 775                 291                 280           0         280
  56         502                  27           4                 802                 300                 273           0         273
  57         508                  22           9                 824                 316                 294           0         294
  58         538                  15           7                 839                 301                 286           0         286
  59         555                  15           9                 854                 299                 284           0         284
  60         569                   2           6                 856                 287                 285           0         285
  61         574                   3           4                 859                 285                 282           0         282
  62         580                  22           3                 881                 301                 279           0         279
  63         584                  11           7                 892                 308                 297           0         297
  64         587                  29           4                 921                 334                 305           0         305
  65         596                  27           6                 948                 352                 325           0         325
  66         601                  17           8                 965                 364                 347           0         347
  67         611                  18           1                 983                 372                 354           0         354
  68         612                   8           6                 991                 379                 371           0         371
  69         613                  20           2                1011                 398                 378           0         378
  70         624                  24           6                1035                 411                 387           0         387
  71         651                  28           8                1063                 412                 384           0         384
  72         654                  13           9                1076                 422                 409           0         409
  73         662                   5           7                1081                 419                 414           0         414
  74         676                   2           5                1083                 407                 405           0         405
  75         688                  12           5                1095                 407                 395           0         395
  76         692                   6           7                1101                 409                 403           0         403
  77         718                  10           7                1111                 393                 383           0         383
  78         745                  22           8                1133                 388                 366           0         366
  79         747                  21           6                1154                 407                 386           0         386
  80         748                   9           1                1163                 415                 406           0         406
  82         760                  20           8                1183                 423                 403           0         403
  81         760                  18           3                1201                 441                 423           0         423
  83         770                  23           3                1224                 454                 431           0         431
  84         777                  16           4                1240                 463                 447           0         447
  85         806                  28           2                1268                 462                 434           0         434
  86         821                  12           9                1280                 459                 447           0         447
  87         825                  24           2                1304                 479                 455           0         455
  88         827                   7           3                1311                 484                 477           0         477
  89         846                   4           6                1315                 469                 465           0         465
  90         872                   2           8                1317                 445                 443           0         443
  91         885                   3           2                1320                 435                 432           0         432
  92         902                  13           6                1333                 431                 418           0         418
  94         913                  14           6                1347                 434                 420           0         420
  93         913                  22           1                1369                 456                 434           0         434
  95         917                  11           3                1380                 463                 452           0         452
  96         927                   3           4                1383                 456                 453           0         453
  97         934                  13           3                1396                 462                 449           0         449
  98         941                   3           8                1399                 458                 455           0         455
  99         961                   7           4                1406                 445                 438           0         438
 100         970                  18           9                1424                 454                 436           0         436
 101         980                  13           6                1437                 457                 444           0         444
 102         994                  28           5                1465                 471                 443           0         443
 103        1002                  29           2                1494                 492                 463           0         463
 104        1004                  29           1                1523                 519                 490           0         490
 105        1006                  23           3                1546                 540                 517           0         517
 106        1011                  21           7                1567                 556                 535           0         535
 107        1015                  14           8                1581                 566                 552           0         552
 108        1016                  12           1                1593                 577                 565           0         565
 109        1021                  19           2                1612                 591                 572           0         572
 110        1041                   8           2                1620                 579                 571           0         571
 111        1048                  10           4                1630                 582                 572           0         572
 112        1051                   6           5                1636                 585                 579           0         579
 113        1058                   7           3                1643                 585                 578           0         578
 114        1059                  22           2                1665                 606                 584           0         584
 115        1061                   5           5                1670                 609                 604           0         604
 116        1066                  14           9                1684                 618                 604           0         604
 117        1068                   9           2                1693                 625                 616           0         616
 118        1070                   4           5                1697                 627                 623           0         623
 119        1076                  29           7                1726                 650                 621           0         621
 120        1076                   8           9                1734                 658                 650           0         650
 121        1095                  28           2                1762                 667                 639           0         639
 122        1106                  14           4                1776                 670                 656           0         656
 123        1150                   8           1                1784                 634                 626           0         626
 124        1154                   2           3                1786                 632                 630           0         630
 125        1154                  25           5                1811                 657                 632           0         632
 126        1173                  13           8                1824                 651                 638           0         638
 127        1199                   3           2                1827                 628                 625           0         625
 128        1204                  11           9                1838                 634                 623           0         623
 129        1209                  23           4                1861                 652                 629           0         629
 130        1225                   3           6                1864                 639                 636           0         636
 131        1229                  13           2                1877                 648                 635           0         635
 132        1236                  12           2                1889                 653                 641           0         641
 133        1250                   7           6                1896                 646                 639           0         639
 134        1301                  15           3                1911                 610                 595           0         595
 135        1314                   9           8                1920                 606                 597           0         597
 136        1318                  10           4                1930                 612                 602           0         602
 137        1325                  17           4                1947                 622                 605           0         605
 138        1343                  17           8                1964                 621                 604           0         604
 139        1345                  24           9                1988                 643                 619           0         619
 140        1346                  28           1                2016                 670                 642           0         642
 141        1360                  15           4                2031                 671                 656           0         656
 142        1372                  27           4                2058                 686                 659           0         659
 143        1379                  17           8                2075                 696                 679           0         679
 144        1391                  23           5                2098                 707                 684           0         684
 145        1411                  14           5                2112                 701                 687           0         687
 146        1418                  17           4                2129                 711                 694           0         694
 147        1423                   8           1                2137                 714                 706           0         706
 148        1446                  12           8                2149                 703                 691           0         691
 149        1450                   6           6                2155                 705                 699           0         699
 150        1458                   4           4                2159                 701                 697           0         697
 151        1462                   6           2                2165                 703                 697           0         697
 152        1477                  13           5                2178                 701                 688           0         688
 153        1523                  10           6                2188                 665                 655           0         655
 154        1540                  19           4                2207                 667                 648           0         648
 155        1542                  17           3                2224                 682                 665           0         665
 156        1550                   6           3                2230                 680                 674           0         674
 157        1558                   8           3                2238                 680                 672           0         672
 158        1566                  14           5                2252                 686                 672           0         672
 159        1566                  16           3                2268                 702                 686           0         686
 160        1568                  21           4                2289                 721                 700           0         700
 161        1573                  11           4                2300                 727                 716           0         716
 162        1585                  19           2                2319                 734                 715           0         715
 163        1585                   6           1                2325                 740                 734           0         734
 164        1585                  18           4                2343                 758                 740           0         740
 165        1591                   5           6                2348                 757                 752           0         752
 166        1592                  10           5                2358                 766                 756           0         756
 167        1598                   3           8                2361                 763                 760           0         760
 168        1600                  19           3                2380                 780                 761           0         761
 169        1606                  20           5                2400                 794                 774           0         774
 170        1614                  14           9                2414                 800                 786           0         786
 171        1640                  13           1                2427                 787                 774           0         774
 172        1662                  24           8                2451                 789                 765           0         765
 173        1674                  29           8                2480                 806                 777           0         777
 174        1677                  18           5                2498                 821                 803           0         803
 175        1685                  28           8                2526                 841                 813           0         813
 176        1694                  13           6                2539                 845                 832           0         832
 177        1695                  20           8                2559                 864                 844           0         844
 178        1699                  24           6                2583                 884                 860           0         860
 179        1706                  27           1                2610                 904                 877           0         877
 181        1731                   5           9                2615                 884                 879           0         879
 180        1731                  11           3                2626                 895                 884           0         884
 182        1742                  13           7                2639                 897                 884           0         884
 183        1758                  12           4                2651                 893                 881           0         881
 184        1761                  16           3                2667                 906                 890           0         890
 185        1776                  29           4                2696                 920                 891           0         891
 186        1779                  23           8                2719                 940                 917           0         917
 187        1782                   5           9                2724                 942                 937           0         937
 188        1786                   9           1                2733                 947                 938           0         938
 189        1788                  27           8                2760                 972                 945           0         945
 190        1788                   5           2                2765                 977                 972           0         972
 191        1791                  26           2                2791                1000                 974           0         974
 192        1791                  29           9                2820                1029                1000           0        1000
 193        1800                  26           2                2846                1046                1020           0        1020
 194        1815                   9           8                2855                1040                1031           0        1031
 195        1819                  19           6                2874                1055                1036           0        1036
 196        1822                  22           3                2896                1074                1052           0        1052
 197        1830                  29           1                2925                1095                1066           0        1066
 198        1838                  17           8                2942                1104                1087           0        1087
 199        1846                  24           5                2966                1120                1096           0        1096
 200        1851                  18           7                2984                1133                1115           0        1115
 201        1869                   4           9                2988                1119                1115           0        1115
 202        1882                  25           1                3013                1131                1106           0        1106
 203        1891                  25           1                3038                1147                1122           0        1122
 204        1892                   9           8                3047                1155                1146           0        1146
 205        1895                   4           1                3051                1156                1152           0        1152
 206        1917                  17           9                3068                1151                1134           0        1134
 207        1927                  25           8                3093                1166                1141           0        1141
 208        1938                  26           8                3119                1181                1155           0        1155
 209        1955                  16           5                3135                1180                1164           0        1164
 210        1960                  25           6                3160                1200                1175           0        1175
 211        1983                  10           7                3170                1187                1177           0        1177
 212        2025                   3           3                3173                1148                1145           0        1145
 213        2041                  13           5                3186                1145                1132           0        1132
 214        2044                  21           7                3207                1163                1142           0        1142
 215        2046                  16           2                3223                1177                1161           0        1161
 216        2069                  19           1                3242                1173                1154           0        1154
 217        2128                  27           5                3269                1141                1114           0        1114
 218        2132                  13           3                3282                1150                1137           0        1137
 219        2133                  29           3                3311                1178                1149           0        1149
 220        2135                  29           1                3340                1205                1176           0        1176
 221        2147                  11           9                3351                1204                1193           0        1193
 222        2160                   9           6                3360                1200                1191           0        1191
 223        2165                   3           3                3363                1198                1195           0        1195
 224        2170                  21           1                3384                1214                1193           0        1193
 225        2174                  17           5                3401                1227                1210           0        1210
 226        2182                   3           7                3404                1222                1219           0        1219
 227        2187                  12           7                3416                1229                1217           0        1217
 228        2188                  18           6                3434                1246                1228           0        1228
 229        2190                  20           7                3454                1264                1244           0        1244
 230        2190                  21           6                3475                1285                1264           0        1264
 231        2195                  19           3                3494                1299                1280           0        1280
 232        2195                  23           2                3517                1322                1299           0        1299
 233        2210                   9           1                3526                1316                1307           0        1307
 234        2224                  25           7                3551                1327                1302           0        1302
