PWP scheduling:Number of processes: 10000
Total elapsed time (for the scheduler): 249665
Throughput (Number of processes executed in units of CPU burst time): 0.040
CPU utilization: 37.937
Average waiting time (in CPU burst times): 18.069
Average turnaround time (in CPU burst times): 33.391
Average response time (in CPU burst times): 11.272

Index    Arrival time     CPU Burst Length   Priority    Finish Time      Turnaround Time      Waiting Time    Idle Time      Response Time
   1          23                  15           4                  38                  15                   0          23           0
   2          58                  23           3                  81                  23                   0          20           0
   3          65                   4           9                  85                  20                  16          27          16
   4          96                   7           3                 103                   7                   0          11           0
   5         118                  14           5                 132                  14                   0          15           0
   6         162                  19           5                 181                  19                   0          30           0
   7         208                  17           4                 225                  17                   0          27           0
   8         227                  17           2                 244                  17                   0           2           0
  11         261                  22           5                 283                  22                   0          17           0
  10         257                  12           6                 291                  34                  22           0           0
  14         292                   4           2                 296                   4                   0           1           0
  12         268                   4           6                 299                  31                  27           6          23
   9         252                  10           7                 304                  52                  42           8           0
  15         298                  12           7                 316                  18                   6           0           6
  13         272                   6           9                 322                  50                  44           0          44
  16         324                  20           3                 344                  20                   0           2           0
  18         349                   8           2                 357                   8                   0           5           0
  17         336                  26           5                 378                  42                  16           0           8
  19         391                   3           1                 394                   3                   0          13           0
  20         397                  16           1                 413                  16                   0           3           0
  21         430                   7           2                 437                   7                   0          17           0
  23         447                  19           6                 466                  19                   0          10           0
  22         444                   7           8                 470                  26                  19           7           0
  24         475                  11           2                 486                  11                   0           5           0
  25         497                   5           7                 502                   5                   0          11           0
  27         520                   5           4                 525                   5                   0          18           0
  26         516                   7           7                 528                  12                   5          14           0
  29         540                  24           5                 564                  24                   0          12           0
  32         569                  10           2                 579                  10                   0           5           0
  31         565                  11           6                 586                  21                  10           0           0
  33         589                  12           1                 601                  12                   0           3           0
  28         525                  29           7                 614                  89                  60           0           3
  30         559                  12           7                 626                  67                  55           2          55
  34         595                  10           7                 636                  41                  31           0          31
  37         702                  16           1                 718                  16                   0          66           0
  35         691                  26           4                 733                  42                  16          55           0
  38         749                  11           6                 760                  11                   0          16           0
  36         699                  26           7                 770                  71                  45           0          34
  40         787                  25           1                 812                  25                   0          17           0
  39         784                  17           2                 826                  42                  25          14           0
  41         819                  29           4                 855                  36                   7           0           7
  42         821                  13           7                 868                  47                  34           0          34
  46         870                  12           2                 882                  12                   0           2           0
  45         868                  17           3                 897                  29                  12           0           0
  47         891                   8           6                 905                  14                   6           0           6
  44         853                  24           7                 929                  76                  52           0          52
  48         937                   8           3                 945                   8                   0           8           0
  43         823                  21           8                 958                 135                 114           0         106
  49         959                  17           6                 976                  17                   0           1           0
  50        1048                  17           2                1065                  17                   0          72           0
  51        1064                   7           4                1072                   8                   1           0           1
  52        1169                   4           2                1173                   4                   0          97           0
  53        1188                   2           6                1190                   2                   0          15           0
  54        1198                  27           3                1225                  27                   0           8           0
  55        1201                  11           7                1236                  35                  24          11          24
  56        1245                  27           4                1272                  27                   0           9           0
  57        1261                  22           9                1294                  33                  11           0          11
  58        1337                  15           7                1352                  15                   0          43           0
  59        1380                  15           9                1395                  15                   0          28           0
  60        1416                   2           6                1418                   2                   0          21           0
  61        1428                   3           4                1431                   3                   0          10           0
  62        1442                  22           3                1464                  22                   0          11           0
  64        1460                  29           4                1493                  33                   4           0           4
  65        1482                  27           6                1520                  38                  11           0          11
  67        1520                  18           1                1538                  18                   0           0           0
  69        1525                  20           2                1558                  33                  13           0          13
  68        1522                   8           6                1566                  44                  36           1          36
  70        1553                  24           6                1590                  37                  13           0          13
  63        1452                  11           7                1601                 149                 138          21         138
  66        1496                  17           8                1618                 122                 105           0         105
  71        1619                  28           8                1647                  28                   0           1           0
  73        1647                   5           7                1652                   5                   0           8           0
  72        1626                  13           9                1665                  39                  26           8          26
  74        1682                   2           5                1684                   2                   0          17           0
  75        1712                  12           5                1724                  12                   0          28           0
  76        1721                   6           7                1730                   9                   3           0           3
  77        1787                  10           7                1797                  10                   0          57           0
  80        1865                   9           1                1874                   9                   0          68           0
  79        1862                  21           6                1892                  30                   9           0           0
  81        1895                  18           3                1913                  18                   0           3           0
  83        1919                  23           3                1942                  23                   0           6           0
  84        1935                  16           4                1958                  23                   7           0           7
  78        1856                  22           8                1965                 109                  87          59           0
  82        1895                  20           8                1985                  90                  70           0          70
  85        2009                  28           2                2037                  28                   0          24           0
  87        2056                  24           2                2080                  24                   0          19           0
  88        2060                   7           3                2087                  27                  20           1          20
  86        2047                  12           9                2090                  43                  31          10           0
  89        2107                   4           6                2111                   4                   0          17           0
  90        2172                   2           8                2174                   2                   0          61           0
  91        2205                   3           2                2208                   3                   0          31           0
  92        2247                  13           6                2260                  13                   0          39           0
  93        2274                  22           1                2296                  22                   0          14           0
  95        2283                  11           3                2307                  24                  13           0          13
  96        2308                   3           4                2311                   3                   0           1           0
  94        2274                  14           6                2324                  50                  36          14          33
  97        2326                  13           3                2339                  13                   0           2           0
  98        2343                   3           8                2346                   3                   0           4           0
  99        2394                   7           4                2401                   7                   0          48           0
 100        2417                  18           9                2435                  18                   0          16           0
 101        2441                  13           6                2454                  13                   0           6           0
 104        2501                  29           1                2530                  29                   0          47           0
 108        2532                  12           1                2544                  12                   0           2           0
 103        2497                  29           2                2567                  70                  41           0           0
 109        2545                  19           2                2586                  41                  22           0          22
 110        2596                   8           2                2604                   8                   0          10           0
 105        2506                  23           3                2617                 111                  88           2          80
 111        2615                  10           4                2627                  12                   2          11           2
 102        2476                  28           5                2634                 158                 130          22           0
 112        2622                   6           5                2640                  18                  12           0          12
 114        2642                  22           2                2664                  22                   0           2           0
 117        2666                   9           2                2675                   9                   0           2           0
 113        2640                   7           3                2678                  38                  31           0           0
 115        2648                   5           5                2683                  35                  30           0          30
 118        2670                   4           5                2687                  17                  13           0          13
 106        2519                  21           7                2708                 189                 168           0         168
 121        2733                  28           2                2761                  28                   0          25           0
 122        2761                  14           4                2775                  14                   0           0           0
 119        2686                  29           7                2779                  93                  64           0          22
 107        2530                  14           8                2793                 263                 249           1         249
 116        2660                  14           9                2807                 147                 133           2         133
 120        2686                   8           9                2815                 129                 121           0         121
 123        2871                   8           1                2879                   8                   0          56           0
 124        2881                   2           3                2883                   2                   0           2           0
 125        2882                  25           5                2908                  26                   1           0           1
 126        2930                  13           8                2943                  13                   0          22           0
 127        2994                   3           2                2997                   3                   0          51           0
 128        3006                  11           9                3017                  11                   0           9           0
 129        3018                  23           4                3041                  23                   0           1           0
 130        3059                   3           6                3062                   3                   0          18           0
 131        3068                  13           2                3081                  13                   0           6           0
 132        3086                  12           2                3098                  12                   0           5           0
 133        3120                   7           6                3127                   7                   0          22           0
 134        3246                  15           3                3261                  15                   0         119           0
 135        3278                   9           8                3287                   9                   0          17           0
 136        3289                  10           4                3299                  10                   0           2           0
 137        3306                  17           4                3323                  17                   0           7           0
 140        3361                  28           1                3389                  28                   0          38           0
 138        3352                  17           8                3397                  45                  28          29           0
 141        3397                  15           4                3412                  15                   0           4           0
 142        3426                  27           4                3453                  27                   0          14           0
 143        3444                  17           8                3470                  26                   9           8           9
 144        3473                  23           5                3496                  23                   0           3           0
 139        3358                  24           9                3503                 145                 121           0          54
 145        3524                  14           5                3538                  14                   0          21           0
 147        3556                   8           1                3564                   8                   0          18           0
 146        3543                  17           4                3568                  25                   8           5           0
 149        3622                   6           6                3628                   6                   0          54           0
 148        3613                  12           8                3631                  18                   6          45           0
 150        3643                   4           4                3647                   4                   0          12           0
 151        3653                   6           2                3659                   6                   0           6           0
 152        3690                  13           5                3703                  13                   0          31           0
 153        3804                  10           6                3814                  10                   0         101           0
 155        3852                  17           3                3869                  17                   0          38           0
 156        3871                   6           3                3877                   6                   0           2           0
 154        3847                  19           4                3889                  42                  23          33           0
 157        3892                   8           3                3900                   8                   0           3           0
 159        3913                  16           3                3929                  16                   0          13           0
 160        3917                  21           4                3950                  33                  12           0          12
 163        3959                   6           1                3965                   6                   0           9           0
 162        3959                  19           2                3984                  25                   6           0           6
 161        3929                  11           4                3986                  57                  46           3          21
 168        3997                  19           3                4016                  19                   0          11           0
 164        3959                  18           4                4023                  64                  46           0          27
 158        3912                  14           5                4036                 124                 110          12           0
 166        3977                  10           5                4046                  69                  59           0          59
 169        4013                  20           5                4066                  53                  33           0          33
 165        3974                   5           6                4071                  97                  92           9          92
 167        3992                   3           8                4074                  82                  79           0          79
 170        4034                  14           9                4088                  54                  40           0          40
 171        4099                  13           1                4112                  13                   0          11           0
 172        4153                  24           8                4177                  24                   0          41           0
 174        4190                  18           5                4208                  18                   0          13           0
 173        4182                  29           8                4229                  47                  18           5           0
 176        4233                  13           6                4246                  13                   0           4           0
 179        4263                  27           1                4290                  27                   0          17           0
 178        4246                  24           6                4297                  51                  27           0           0
 175        4210                  28           8                4321                 111                  83           0          19
 180        4325                  11           3                4336                  11                   0           4           0
 177        4236                  20           8                4352                 116                  96           0          85
 182        4354                  13           7                4367                  13                   0           2           0
 181        4326                   5           9                4370                  44                  39          12          26
 184        4401                  16           3                4417                  16                   0          31           0
 183        4393                  12           4                4421                  28                  16          23           0
