SJF scheduling:Number of processes: 10000
Total elapsed time (for the scheduler): 499375
Throughput (Number of processes executed in units of CPU burst time): 0.020
CPU utilization: 23.975
Average waiting time (in CPU burst times): 3.313
Average turnaround time (in CPU burst times): 18.636
Average response time (in CPU burst times): 3.892

Index    Arrival time     CPU Burst Length   Priority    Finish Time      Turnaround Time      Waiting Time    Idle Time      Response Time
   1          47                  15           4                  62                  15                   0          47           0
   3         130                   4           9                 134                   4                   0          68           0
   2         117                  23           3                 144                  27                   4          55          17
   4         192                   7           3                 199                   7                   0          48           0
   5         236                  14           5                 250                  14                   0          37           0
   6         324                  19           5                 343                  19                   0          74           0
   7         417                  17           4                 434                  17                   0          74           0
   8         455                  17           2                 472                  17                   0          21           0
   9         505                  10           7                 515                  10                   0          33           0
  10         514                  12           6                 527                  13                   1           0           1
  12         536                   4           6                 540                   4                   0           9           0
  13         544                   6           9                 550                   6                   0           4           0
  11         522                  22           5                 559                  37                  15           0          28
  14         584                   4           2                 588                   4                   0          25           0
  15         596                  12           7                 608                  12                   0           8           0
  16         648                  20           3                 668                  20                   0          40           0
  17         672                  26           5                 698                  26                   0           4           0
  18         698                   8           2                 706                   8                   0           0           0
  19         783                   3           1                 786                   3                   0          77           0
  20         795                  16           1                 811                  16                   0           9           0
  21         860                   7           2                 867                   7                   0          49           0
  22         889                   7           8                 896                   7                   0          22           0
  23         895                  19           6                 915                  20                   1           0           1
  24         950                  11           2                 961                  11                   0          35           0
  25         993                   5           7                 998                   5                   0          32           0
  26        1032                   7           7                1039                   7                   0          34           0
  27        1040                   5           4                1045                   5                   0           1           0
  28        1050                  29           7                1079                  29                   0           5           0
  29        1080                  24           5                1104                  24                   0           1           0
  30        1119                  12           7                1131                  12                   0          15           0
  31        1130                  11           6                1142                  12                   1           0           1
  32        1139                  10           2                1152                  13                   3           0           3
  33        1179                  12           1                1191                  12                   0          27           0
  34        1190                  10           7                1201                  11                   1           0           1
  35        1383                  26           4                1409                  26                   0         182           0
  37        1406                  16           1                1425                  19                   3           0           3
  36        1400                  26           7                1451                  51                  25           0          25
  38        1500                  11           6                1511                  11                   0          49           0
  39        1569                  17           2                1586                  17                   0          58           0
  40        1574                  25           1                1611                  37                  12           0          12
  42        1642                  13           7                1655                  13                   0          31           0
  43        1645                  21           8                1676                  31                  10           0          10
  41        1638                  29           4                1701                  63                  34          27          38
  44        1706                  24           7                1730                  24                   0           5           0
  45        1736                  17           3                1753                  17                   0           6           0
  46        1741                  12           2                1765                  24                  12           0          12
  47        1783                   8           6                1791                   8                   0          18           0
  48        1876                   8           3                1884                   8                   0          85           0
  49        1919                  17           6                1936                  17                   0          35           0
  50        2097                  17           2                2114                  17                   0         161           0
  51        2129                   7           4                2136                   7                   0          15           0
  52        2339                   4           2                2343                   4                   0         203           0
  53        2377                   2           6                2379                   2                   0          34           0
  55        2402                  11           7                2413                  11                   0          23           0
  54        2396                  27           3                2434                  38                  11          17          17
  56        2490                  27           4                2517                  27                   0          56           0
  57        2522                  22           9                2544                  22                   0           5           0
  58        2673                  15           7                2688                  15                   0         129           0
  59        2758                  15           9                2773                  15                   0          70           0
  60        2830                   2           6                2832                   2                   0          57           0
  61        2854                   3           4                2857                   3                   0          22           0
  62        2882                  22           3                2904                  22                   0          25           0
  63        2903                  11           7                2915                  12                   1           0           1
  64        2918                  29           4                2947                  29                   0           3           0
  65        2961                  27           6                2988                  27                   0          14           0
  66        2988                  17           8                3005                  17                   0           0           0
  68        3040                   8           6                3048                   8                   0          35           0
  67        3036                  18           1                3062                  26                   8          31          12
  69        3046                  20           2                3082                  36                  16           0          16
  70        3101                  24           6                3125                  24                   0          19           0
  72        3248                  13           9                3261                  13                   0         123           0
  71        3234                  28           8                3275                  41                  13         109          27
  73        3289                   5           7                3294                   5                   0          14           0
  74        3359                   2           5                3361                   2                   0          65           0
  75        3418                  12           5                3430                  12                   0          57           0
  76        3436                   6           7                3442                   6                   0           6           0
  77        3568                  10           7                3578                  10                   0         126           0
  78        3705                  22           8                3727                  22                   0         127           0
  80        3722                   9           1                3736                  14                   5           0           5
  79        3716                  21           6                3757                  41                  20           0          20
  81        3782                  18           3                3800                  18                   0          25           0
  82        3783                  20           8                3820                  37                  17           0          17
  83        3831                  23           3                3854                  23                   0          11           0
  84        3864                  16           4                3880                  16                   0          10           0
  85        4011                  28           2                4039                  28                   0         131           0
  86        4087                  12           9                4099                  12                   0          48           0
  88        4114                   7           3                4121                   7                   0          15           0
  87        4105                  24           2                4136                  31                   7           6          16
  89        4208                   4           6                4212                   4                   0          72           0
  90        4338                   2           8                4340                   2                   0         126           0
  91        4404                   3           2                4407                   3                   0          64           0
  92        4488                  13           6                4501                  13                   0          81           0
  94        4542                  14           6                4556                  14                   0          41           0
  95        4561                  11           3                4572                  11                   0           5           0
  93        4542                  22           1                4589                  47                  25           0          30
  96        4611                   3           4                4614                   3                   0          22           0
  97        4646                  13           3                4659                  13                   0          32           0
  98        4680                   3           8                4683                   3                   0          21           0
  99        4781                   7           4                4788                   7                   0          98           0
 100        4827                  18           9                4845                  18                   0          39           0
 101        4875                  13           6                4888                  13                   0          30           0
 102        4945                  28           5                4973                  28                   0          57           0
 103        4986                  29           2                5015                  29                   0          13           0
 105        5003                  23           3                5038                  35                  12           0          12
 106        5029                  21           7                5059                  30                   9           0           9
 108        5053                  12           1                5071                  18                   6           0           6
 107        5050                  14           8                5085                  35                  21           0          21
 109        5079                  19           2                5104                  25                   6           0           6
 104        4994                  29           1                5133                 139                 110           0         110
 110        5181                   8           2                5189                   8                   0          48           0
 111        5218                  10           4                5228                  10                   0          29           0
 112        5232                   6           5                5238                   6                   0           4           0
 113        5268                   7           3                5275                   7                   0          30           0
 115        5284                   5           5                5289                   5                   0           9           0
 114        5272                  22           2                5302                  30                   8           0          17
 116        5308                  14           9                5322                  14                   0           6           0
 117        5319                   9           2                5331                  12                   3           0           3
 118        5327                   4           5                5335                   8                   4           0           4
 120        5358                   8           9                5366                   8                   0          23           0
 119        5358                  29           7                5395                  37                   8          23           8
 121        5453                  28           2                5481                  28                   0          58           0
 122        5509                  14           4                5523                  14                   0          28           0
 123        5729                   8           1                5737                   8                   0         206           0
 124        5750                   2           3                5752                   2                   0          13           0
 125        5752                  25           5                5777                  25                   0           0           0
 126        5848                  13           8                5861                  13                   0          71           0
 127        5976                   3           2                5979                   3                   0         115           0
 128        6000                  11           9                6011                  11                   0          21           0
 129        6024                  23           4                6047                  23                   0          13           0
 130        6106                   3           6                6109                   3                   0          59           0
 131        6125                  13           2                6138                  13                   0          16           0
 132        6162                  12           2                6174                  12                   0          24           0
 133        6230                   7           6                6237                   7                   0          56           0
 134        6483                  15           3                6498                  15                   0         246           0
 135        6547                   9           8                6556                   9                   0          49           0
 136        6569                  10           4                6579                  10                   0          13           0
 137        6603                  17           4                6620                  17                   0          24           0
 138        6695                  17           8                6712                  17                   0          75           0
 139        6706                  24           9                6736                  30                   6           0           6
 140        6712                  28           1                6764                  52                  24           0          24
 141        6783                  15           4                6798                  15                   0          19           0
 142        6841                  27           4                6868                  27                   0          43           0
 143        6878                  17           8                6895                  17                   0          10           0
 144        6936                  23           5                6959                  23                   0          41           0
 145        7037                  14           5                7051                  14                   0          78           0
 146        7074                  17           4                7091                  17                   0          23           0
 147        7100                   8           1                7108                   8                   0           9           0
 148        7213                  12           8                7225                  12                   0         105           0
 149        7231                   6           6                7237                   6                   0           6           0
 150        7273                   4           4                7277                   4                   0          36           0
 151        7293                   6           2                7299                   6                   0          16           0
 152        7367                  13           5                7380                  13                   0          68           0
 153        7595                  10           6                7605                  10                   0         215           0
 154        7680                  19           4                7699                  19                   0          75           0
 155        7690                  17           3                7716                  26                   9           0           9
 156        7728                   6           3                7734                   6                   0          12           0
 157        7770                   8           3                7778                   8                   0          36           0
 158        7811                  14           5                7825                  14                   0          33           0
 159        7813                  16           3                7841                  28                  12           0          12
 161        7846                  11           4                7857                  11                   0           5           0
 160        7822                  21           4                7873                  51                  30           0          35
 163        7905                   6           1                7911                   6                   0          32           0
 164        7906                  18           4                7929                  23                   5           0           5
 165        7936                   5           6                7941                   5                   0           7           0
 166        7942                  10           5                7952                  10                   0           1           0
 162        7905                  19           2                7963                  58                  39          32          47
 167        7973                   3           8                7976                   3                   0          10           0
 168        7983                  19           3                8002                  19                   0           7           0
 169        8015                  20           5                8035                  20                   0          13           0
 170        8057                  14           9                8071                  14                   0          22           0
 171        8188                  13           1                8201                  13                   0         117           0
 172        8297                  24           8                8321                  24                   0          96           0
 173        8356                  29           8                8385                  29                   0          35           0
 174        8372                  18           5                8403                  31                  13           0          13
 175        8412                  28           8                8440                  28                   0           9           0
 176        8457                  13           6                8470                  13                   0          17           0
 177        8463                  20           8                8490                  27                   7           0           7
 178        8483                  24           6                8514                  31                   7           0           7
 179        8518                  27           1                8545                  27                   0           4           0
 181        8644                   5           9                8649                   5                   0          99           0
 180        8642                  11           3                8658                  16                   5          97           7
 182        8700                  13           7                8713                  13                   0          42           0
 183        8779                  12           4                8791                  12                   0          66           0
 184        8795                  16           3                8811                  16                   0           4           0
 185        8870                  29           4                8899                  29                   0          59           0
 187        8897                   5           9                8904                   7                   2           0           2
 188        8916                   9           1                8925                   9                   0          12           0
 190        8927                   5           2                8932                   5                   0           2           0
 186        8884                  23           8                8941                  57                  34           0          48
